IPO Status,Ticker Code,Company Name,Sector,Subsector,Listing Board,Final Price (Rp),Return D1,Return D2,Return D3,Return D4,Return D5,Return D6,Return D7,Return from Listing Date,Line of Business,Address,Website,Number of shares offered,% of Total Shares,Participant Admin,Underwriter(s),Book Building Opening,Book Building Closing,Lowest Book Building Price (Rp),Highest Book Building Price (Rp),Opening of Offering Period,Closing of Offering Period,Closing Date,Distribution Date,Listing Date,Warrant per share ratio,Exercise Price (Warrant) (Rp)
Postpone,GWAA,PT Golden Westindo Artajaya Tbk,Consumer Non-Cyclicals Syariah,Food Retail & Distributors,,,,,,,,,,,"Perdagangan Pakan Pembenihan Udang dan Ikan, Pakan Ikan Hias, Peralatan Akuarium dan Pakan Beku Ikan","Puri Indah Financial Tower Lt. 20 Unit 09 – 11 Jl. Puri Lingkar Dalam Blok T.8 RT 001/RW 002, Kembangan Selatan Kec. Kembangan, Kota Jakarta Barat DKI Jakarta 11610",https://www.goldenwestindo.com/,685714300,30.0,AH - SHINHAN SEKURITAS INDONESIA,['AH - SHINHAN SEKURITAS INDONESIA'],2024-09-10,2024-09-18,100,120,,,,2024-09-11,2024-09-12,0.0,
Closed,PTMR,PT Master Print Tbk,Basic Materials Syariah,Containers & Packaging,,Rp 128,,,,,,,,,Bergerak dalam bidang perdagangan sebagai distributor resmi dan penyewaan barang-barang industri pen,,https://www.masterprint.co.id,435000000,22.81,RG - PROFINDO SEKURITAS INDONESIA,['RG - PROFINDO SEKURITAS INDONESIA'],2024-09-20,2024-09-24,125,135,,,,,08 Oct 2024,0.0,
Closed,VERN,PT Verona Indah Pictures Tbk,Consumer Cyclicals Syariah,Entertainment & Movie Production,,Rp 195,,,,,,,,,"Aktivitas Produksi, Pasca Produksi, serta Distribusi Film, Video, dan Program Televisi oleh Swasta","Graha Arteri Mas , Jalan Panjang No.68, Kav.38-39, Kel. Kedoya Selatan, Kec. Kebon Jeruk, Jakarta Barat, DKI Jakarta",https://www.veronapictures.co.id/,1121650000,23.54,AI - UOB KAY HIAN SEKURITAS,['AI - UOB KAY HIAN SEKURITAS'],2024-09-18,2024-09-25,190,195,,,,,08 Oct 2024,0.5,216.0
Closed,NEST,PT Esta Indonesia Tbk,Consumer Non-Cyclicals Syariah,"Fish, Meat, & Poultry",Pengembangan,Rp 200,0.35,0.007407407407407408,0.07352941176470588,-0.0547945205479452,-0.050724637681159424,0.0916030534351145,-0.04195804195804196,0.75,Bergerak dalam bidang Pembibitan dan Budidaya Burung Walet dan Perdagangan Besar Sarang Burung Walet,"Terboyo Industri II/2, Terboyo Megah Industri, Semarang 50112 - Indonesia",https://www.estaindonesia.co.id,822500000,20.0,HD - KGI SEKURITAS INDONESIA,['HD - KGI SEKURITAS INDONESIA'],2024-07-22,2024-07-24,160,200,2024-08-01,2024-08-06,2024-08-06,2024-08-07,08 Aug 2024,0.0,
Closed,DOSS,PT Global Sukses Digital Tbk,Consumer Cyclicals Syariah,Electronics Retail,Pengembangan,Rp 135,0.34814814814814815,0.34065934065934067,0.040983606557377046,-0.05511811023622047,-0.025,-0.017094017094017096,-0.008695652173913044,0.43703703703703706,Perdagangan Eceran Alat Fotografi dan Perlengkapannya,"Jl. Tebah No. 4., Kel. Gunung, Kec. Kebayoran Baru, Jakarta Selatan",https://www.globalsuksesdigital.com,450000000,26.09,IF - SAMUEL SEKURITAS INDONESIA,['IF - SAMUEL SEKURITAS INDONESIA'],2024-07-22,2024-07-26,130,135,2024-08-01,2024-08-05,2024-08-05,2024-08-06,07 Aug 2024,0.0,
Closed,LABS,PT UBC Medical Indonesia Tbk,Healthcare Syariah,Healthcare Equipment,Pengembangan,Rp 102,0.3431372549019608,0.34306569343065696,0.06521739130434782,-0.1326530612244898,0.058823529411764705,-0.044444444444444446,0.0,0.4411764705882353,Distributor Alat Kesehatan,"Kawasan Industri Pulogadung, Jl. Rawagelam V, Blok L, No Kav 11-13, Kel. Jatinegara Kec. Cakung Jakarta Timur, Jakarta",https://www.ubcindonesia.com,700000000,18.0,YJ - LOTUS ANDALAN SEKURITAS,['YJ - LOTUS ANDALAN SEKURITAS'],2024-06-19,2024-06-26,100,105,2024-07-02,2024-07-08,2024-07-08,2024-07-09,10 Jul 2024,0.0,
Closed,GOLF,PT Intra GolfLink Resorts Tbk,Consumer Cyclicals Syariah,Recreational & Sports Facilities,Utama,Rp 200,0.35,0.007407407407407408,-0.11764705882352941,0.0,-0.041666666666666664,-0.05217391304347826,0.027522935779816515,0.12,"Bergerak Dalam Bidang Jasa Konsultasi Manajemen dan Pengelolaan Lapangan Golf, Pengembangan Properti","Desa Kadumanggu, Kecamatan Madang Bogor 16810 – Jawa Barat",https://www.golflinkresorts.co.id/id,1950000000,10.0,IF - SAMUEL SEKURITAS INDONESIA,"['IF - SAMUEL SEKURITAS INDONESIA', 'CP - KB VALBURY SEKURITAS', 'LG - TRIMEGAH SEKURITAS INDONESIA TBK.', 'MG - SEMESTA INDOVEST SEKURITAS']",2024-06-20,2024-06-25,200,230,2024-07-02,2024-07-04,2024-07-04,2024-07-05,08 Jul 2024,0.0,
Closed,GUNA,PT. Gunanusa Eramandiri Tbk.,Consumer Non-Cyclicals,Processed Foods,Pengembangan,Rp 150,0.3466666666666667,0.24752475247524752,0.24603174603174602,-0.050955414012738856,-0.020134228187919462,0.0547945205479452,-0.03896103896103896,1.0666666666666667,"Industri makanan dari kedele dan kacang-kacangan lainnya bukan kecap, tempe dan tahu","Kawasan Industri BIIE Hyundai Jl. Inti I Kav. 3 No. 3 Kelurahan Cibatu, Kecamatan Cikarang Selatan, Kabupaten Bekasi, Provinsi Jawa Barat 17550",https://www.gunanusaeramandiri.com,5.000.000 Lot,20%,GR - PANIN SEKURITAS TBK.,GR - PANIN SEKURITAS TBK.,2024-06-20,2024-06-26,100,150,2024-07-02,2024-07-05,2024-07-05,2024-07-08,09 Jul 2024,0.0,
Closed,BLES,PT Superior Prima Sukses Tbk,Basic Materials Syariah,Construction Materials,Utama,Rp 183,0.3442622950819672,0.24390243902439024,-0.10457516339869281,0.0072992700729927005,-0.06521739130434782,-0.03875968992248062,0.024193548387096774,0.3005464480874317,Industri Bata Ringan dan Semen Mortar,,https://superiorprimasukses.com,1313824000,15.0,YJ - LOTUS ANDALAN SEKURITAS,['YJ - LOTUS ANDALAN SEKURITAS'],2024-06-11,2024-06-20,175,185,2024-07-01,2024-07-04,2024-07-04,2024-07-05,08 Jul 2024,0.0,
Closed,ISEA,PT Indo American Seafoods Tbk,Consumer Non-Cyclicals,Processed Foods,Pengembangan,Rp 250,0.248,0.02564102564102564,0.1875,0.23157894736842105,-0.24786324786324787,0.005681818181818182,0.06779661016949153,-0.636,"Industri Pembekuan Biota Air Lainnya, Industri Makanan dan Masakan Olahan, Industri Berbasis Daging","Jl. Ir. Sutami KM 13, Desa Sukanegara, Kecamatan Tanjung Bintang, Kabupaten Lampung Selatan, Provinsi Lampung, Indonesia – 35361.",https://www.indoamericanseafoods.com/,2.900.000 Lot,20.86%,CP - KB VALBURY SEKURITAS,CP - KB VALBURY SEKURITAS,2024-06-14,2024-06-24,220,250,2024-07-01,2024-07-04,2024-07-04,2024-07-05,08 Jul 2024,0.5,Rp 226
